"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2024","1,486.0","1,486.0","1,486.0","1,486.0","","-1.48%"
"03/19/2024","1,508.3","1,508.3","1,508.3","1,508.3","","-0.93%"
"03/18/2024","1,522.5","1,522.5","1,522.5","1,522.5","","2.47%"
"03/15/2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.00%"
"03/14/2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.00%"
"03/13/2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.00%"
"03/12/2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.00%"
"03/11/2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.05%"
"03/08/2024","1,485.0","1,485.0","1,485.0","1,485.0","","0.00%"
"03/07/2024","1,485.0","1,485.0","1,485.0","1,485.0","","0.77%"
"03/06/2024","1,473.7","1,473.7","1,473.7","1,473.7","","0.00%"
"03/05/2024","1,473.7","1,473.7","1,473.7","1,473.7","","0.82%"
"03/04/2024","1,461.7","1,461.7","1,461.7","1,461.7","","-0.46%"
"03/01/2024","1,468.5","1,468.5","1,468.5","1,468.5","","1.45%"
"02/29/2024","1,447.5","1,447.5","1,447.5","1,447.5","","0.21%"
"02/28/2024","1,444.4","1,444.4","1,444.4","1,444.4","","-0.28%"
"02/27/2024","1,448.5","1,448.5","1,448.5","1,448.5","","-0.37%"
"02/26/2024","1,453.9","1,453.9","1,453.9","1,453.9","","1.51%"
"02/23/2024","1,432.3","1,432.3","1,432.3","1,432.3","","2.45%"
"02/22/2024","1,398.1","1,398.1","1,398.1","1,398.1","","1.65%"
"02/21/2024","1,375.4","1,375.4","1,375.4","1,375.4","","-0.04%"
"02/20/2024","1,376.0","1,376.0","1,376.0","1,376.0","","0.01%"
"02/19/2024","1,375.8","1,375.8","1,375.8","1,375.8","","-0.47%"
"02/16/2024","1,382.3","1,382.3","1,382.3","1,382.3","","0.40%"
"02/15/2024","1,376.8","1,376.8","1,376.8","1,376.8","","0.58%"
"02/14/2024","1,368.8","1,368.8","1,368.8","1,368.8","","0.37%"
"02/13/2024","1,363.8","1,363.8","1,363.8","1,363.8","","-0.58%"
"02/12/2024","1,371.7","1,371.7","1,371.7","1,371.7","","0.23%"
"02/09/2024","1,368.6","1,368.6","1,368.6","1,368.6","","-0.22%"
"02/08/2024","1,371.6","1,371.6","1,371.6","1,371.6","","-0.68%"
"02/07/2024","1,381.0","1,381.0","1,381.0","1,381.0","","0.00%"
"02/06/2024","1,381.0","1,381.0","1,381.0","1,381.0","","-0.88%"
"02/05/2024","1,393.3","1,393.3","1,393.3","1,393.3","","0.65%"
"02/02/2024","1,384.3","1,384.3","1,384.3","1,384.3","","-0.87%"
"02/01/2024","1,396.4","1,396.4","1,396.4","1,396.4","","0.13%"
"01/31/2024","1,394.6","1,394.6","1,394.6","1,394.6","","0.39%"
"01/30/2024","1,389.2","1,389.2","1,389.2","1,389.2","","-0.69%"
"01/29/2024","1,398.9","1,398.9","1,398.9","1,398.9","","0.76%"
"01/25/2024","1,388.3","1,388.3","1,388.3","1,388.3","","0.12%"
"01/24/2024","1,386.7","1,386.7","1,386.7","1,386.7","","0.49%"
"01/23/2024","1,380.0","1,380.0","1,380.0","1,380.0","","0.00%"
"01/22/2024","1,380.0","1,380.0","1,380.0","1,380.0","","-0.05%"
"01/19/2024","1,380.7","1,380.7","1,380.7","1,380.7","","-0.43%"
"01/18/2024","1,386.7","1,386.7","1,386.7","1,386.7","","0.03%"
"01/17/2024","1,386.3","1,386.3","1,386.3","1,386.3","","-0.27%"
"01/16/2024","1,390.0","1,390.0","1,390.0","1,390.0","","-0.48%"
"01/15/2024","1,396.7","1,396.7","1,396.7","1,396.7","","-0.09%"
"01/12/2024","1,397.9","1,397.9","1,397.9","1,397.9","","0.57%"
"01/11/2024","1,390.0","1,390.0","1,390.0","1,390.0","","-0.86%"
"01/10/2024","1,402.0","1,402.0","1,402.0","1,402.0","","0.23%"
"01/09/2024","1,398.8","1,398.8","1,398.8","1,398.8","","0.81%"
"01/08/2024","1,387.5","1,387.5","1,387.5","1,387.5","","-1.49%"
"01/05/2024","1,408.5","1,408.5","1,408.5","1,408.5","","-0.81%"
"01/04/2024","1,420.0","1,420.0","1,420.0","1,420.0","","0.18%"
"01/03/2024","1,417.5","1,417.5","1,417.5","1,417.5","","-0.12%"
"01/02/2024","1,419.2","1,419.2","1,419.2","1,419.2","","0.31%"
"01/01/2024","1,414.8","1,414.8","1,414.8","1,414.8","","-1.48%"
"12/29/2023","1,436.1","1,436.1","1,436.1","1,436.1","","-0.14%"
"12/28/2023","1,438.1","1,438.1","1,438.1","1,438.1","","1.12%"
"12/27/2023","1,422.2","1,422.2","1,422.2","1,422.2","","-0.57%"
"12/26/2023","1,430.4","1,430.4","1,430.4","1,430.4","","0.53%"
"12/22/2023","1,422.8","1,422.8","1,422.8","1,422.8","","0.02%"
"12/21/2023","1,422.5","1,422.5","1,422.5","1,422.5","","0.80%"
"12/20/2023","1,411.2","1,411.2","1,411.2","1,411.2","","-1.63%"
"12/19/2023","1,434.6","1,434.6","1,434.6","1,434.6","","-1.02%"
"12/18/2023","1,449.4","1,449.4","1,449.4","1,449.4","","1.80%"
"12/15/2023","1,423.8","1,423.8","1,423.8","1,423.8","","1.64%"
"12/14/2023","1,400.8","1,400.8","1,400.8","1,400.8","","-1.41%"
"12/13/2023","1,420.8","1,420.8","1,420.8","1,420.8","","0.00%"
