"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2024","224.90","221.50","225.45","218.50","4.94K","2.18%"
"04/02/2024","220.10","218.00","222.55","217.80","3.67K","1.10%"
"04/01/2024","217.70","216.95","218.55","216.95","0.95K","1.28%"
"03/28/2024","214.95","215.65","215.65","214.95","0.02K","0.58%"
"03/27/2024","213.70","213.80","214.20","213.25","0.03K","-1.02%"
"03/26/2024","215.90","218.65","218.65","214.75","0.04K","-1.26%"
"03/25/2024","218.65","218.50","219.60","218.30","0.01K","0.48%"
"03/22/2024","217.60","218.50","218.50","217.30","0.91K","-0.82%"
"03/21/2024","219.40","219.30","221.45","218.60","3.54K","0.32%"
"03/20/2024","218.70","218.45","219.45","217.70","2.38K","0.34%"
"03/19/2024","217.95","220.15","221.25","217.55","3.50K","-1.36%"
"03/18/2024","220.95","222.35","223.90","220.40","3.06K","-0.76%"
"03/15/2024","222.65","224.00","225.15","221.45","3.89K","-0.22%"
"03/14/2024","223.15","224.75","225.95","222.20","3.30K","-0.58%"
"03/13/2024","224.45","223.35","225.10","223.25","2.73K","0.63%"
"03/12/2024","223.05","223.35","225.30","221.25","3.48K","-0.16%"
"03/11/2024","223.40","219.85","223.85","219.85","2.68K","1.06%"
"03/08/2024","221.05","222.60","223.30","219.70","2.36K","-0.16%"
"03/07/2024","221.40","219.00","222.30","218.80","3.53K","1.28%"
"03/06/2024","218.60","217.10","219.30","217.10","2.27K","0.69%"
"03/05/2024","217.10","216.35","218.40","216.15","2.46K","0.28%"
"03/04/2024","216.50","213.70","218.10","213.25","3.82K","0.98%"
"03/01/2024","214.40","214.60","215.05","212.75","2.59K","-0.95%"
"02/29/2024","216.45","216.80","216.80","216.05","0.00K","1.60%"
"02/28/2024","213.05","215.25","217.00","211.90","0.04K","-1.84%"
"02/27/2024","217.05","217.00","217.90","216.75","0.01K","0.16%"
"02/26/2024","216.70","221.65","221.70","216.00","0.07K","0.14%"
"02/23/2024","216.40","214.25","218.70","213.50","0.71K","1.07%"
"02/22/2024","214.10","213.15","214.85","212.15","1.89K","0.33%"
"02/21/2024","213.40","213.40","214.85","212.80","2.36K","0.64%"
"02/20/2024","212.05","214.85","215.00","211.50","3.57K","-1.71%"
"02/19/2024","215.75","214.20","216.50","213.75","4.11K","0.68%"
"02/16/2024","214.30","210.80","214.90","210.60","4.56K","1.64%"
"02/15/2024","210.85","207.95","211.10","207.80","3.18K","1.52%"
"02/14/2024","207.70","206.40","208.25","205.90","2.91K","0.48%"
"02/13/2024","206.70","210.00","210.25","206.20","3.78K","-0.91%"
"02/12/2024","208.60","207.10","209.90","204.65","4.42K","0.48%"
"02/09/2024","207.60","209.60","209.95","206.55","4.33K","-1.07%"
"02/08/2024","209.85","215.65","216.80","209.30","4.85K","-2.51%"
"02/07/2024","215.25","217.55","217.55","214.95","2.43K","-1.06%"
"02/06/2024","217.55","217.10","218.75","216.70","2.39K","0.25%"
"02/05/2024","217.00","218.40","218.80","216.55","2.51K","-0.94%"
"02/02/2024","219.05","220.50","221.05","218.35","2.94K","-0.84%"
"02/01/2024","220.90","223.90","223.95","220.50","3.79K","-3.41%"
"01/31/2024","228.70","226.85","226.85","226.85","0.00K","0.75%"
"01/30/2024","227.00","227.00","227.00","227.00","0.00K","-0.20%"
"01/29/2024","227.45","227.70","227.70","227.10","0.02K","-0.11%"
"01/25/2024","227.70","225.75","229.05","225.75","0.05K","1.07%"
"01/24/2024","225.30","222.40","225.70","222.40","0.78K","1.58%"
"01/23/2024","221.80","220.10","223.05","219.80","3.14K","1.12%"
"01/22/2024","219.35","219.00","219.90","218.40","1.17K","-0.18%"
"01/19/2024","219.75","219.55","220.80","218.75","2.09K","0.14%"
"01/18/2024","219.45","220.50","221.00","218.45","2.46K","-0.41%"
"01/17/2024","220.35","224.40","224.55","219.90","3.57K","-1.98%"
"01/16/2024","224.80","225.65","225.90","224.05","2.37K","-0.35%"
"01/15/2024","225.60","223.35","227.00","223.20","4.51K","1.14%"
"01/12/2024","223.05","223.40","224.10","222.15","3.05K","-0.13%"
"01/11/2024","223.35","223.35","224.45","222.75","2.19K","0.22%"
"01/10/2024","222.85","223.80","224.60","222.20","2.94K","-0.27%"
"01/09/2024","223.45","223.25","225.10","222.75","3.81K","-0.02%"
"01/08/2024","223.50","224.95","225.45","222.80","4.19K","-0.89%"
"01/05/2024","225.50","226.05","227.40","225.10","3.62K","-0.11%"
"01/04/2024","225.75","227.45","228.30","224.85","3.47K","-1.18%"
"01/03/2024","228.45","230.00","230.60","226.95","3.56K","-0.91%"
"01/02/2024","230.55","231.95","233.25","229.00","4.76K","-1.12%"
"01/01/2024","233.15","233.00","233.85","232.60","0.30K","1.52%"
"12/29/2023","229.65","230.25","230.90","229.40","0.02K","-0.50%"
"12/28/2023","230.80","230.00","231.20","229.35","0.03K","0.70%"
"12/27/2023","229.20","227.00","229.85","226.60","0.04K","1.24%"
"12/26/2023","226.40","225.90","228.05","225.90","0.05K","0.27%"
"12/22/2023","225.80","224.15","226.50","223.90","0.75K","1.03%"
"12/21/2023","223.50","225.10","225.85","222.65","2.93K","-0.84%"
"12/20/2023","225.40","226.90","228.35","225.00","2.87K","-0.31%"
"12/19/2023","226.10","224.00","226.65","223.40","2.82K","0.94%"
"12/18/2023","224.00","223.00","224.60","222.30","3.14K","0.36%"
"12/15/2023","223.20","222.60","223.70","222.00","2.32K","0.65%"
"12/14/2023","221.75","218.90","222.85","218.90","3.92K","1.63%"
"12/13/2023","218.20","217.85","218.80","216.75","2.52K","-0.02%"
"12/12/2023","218.25","218.00","219.90","217.90","3.38K","0.51%"
"12/11/2023","217.15","216.35","217.80","214.95","2.88K","0.28%"
"12/08/2023","216.55","218.60","219.50","216.40","4.28K","-0.48%"
"12/07/2023","217.60","219.00","219.95","217.20","2.82K","-0.57%"
"12/06/2023","218.85","219.50","221.75","218.10","3.74K","0.09%"
"12/05/2023","218.65","220.15","220.35","218.20","3.93K","-0.84%"
"12/04/2023","220.50","225.30","225.30","220.30","3.25K","-2.13%"
"12/01/2023","225.30","224.05","225.75","221.65","4.33K","-0.66%"
"11/30/2023","226.80","223.30","223.30","223.30","0.00K","0.53%"
"11/29/2023","225.60","225.00","226.35","225.00","0.05K","-0.11%"
"11/28/2023","225.85","226.50","226.90","225.25","0.03K","0.27%"
"11/27/2023","225.25","228.65","228.70","224.80","0.04K","-0.49%"
"11/24/2023","226.35","225.50","227.55","225.45","0.81K","0.56%"
"11/23/2023","225.10","223.35","225.95","223.35","2.21K","0.76%"
"11/22/2023","223.40","225.00","225.00","222.80","2.24K","-1.28%"
"11/21/2023","226.30","227.95","228.10","225.20","2.42K","-0.72%"
"11/20/2023","227.95","228.45","229.60","226.90","2.99K","0.35%"
"11/17/2023","227.15","228.15","228.90","226.50","3.38K","-0.46%"
"11/16/2023","228.20","230.95","231.45","227.30","5.32K","-1.93%"
"11/15/2023","232.70","230.45","233.90","229.30","3.47K","1.31%"
"11/14/2023","229.70","226.80","230.25","226.50","2.19K","1.17%"
"11/13/2023","227.05","227.35","228.05","226.05","2.24K","-0.48%"
"11/12/2023","228.15","227.35","228.15","227.25","0.13K","0.42%"
"11/10/2023","227.20","228.25","230.00","226.20","3.36K","-0.66%"
"11/09/2023","228.70","228.30","229.65","227.25","2.00K","0.11%"
"11/08/2023","228.45","227.35","230.10","226.75","3.82K","0.75%"
"11/07/2023","226.75","225.50","226.95","225.05","2.56K","0.11%"
"11/06/2023","226.50","223.50","227.45","223.35","4.26K","1.32%"
"11/03/2023","223.55","222.00","224.15","221.55","37.85M","0.81%"
"11/02/2023","221.75","222.70","224.90","221.50","4.34K","-0.20%"
"11/01/2023","222.20","219.10","227.00","218.25","10.07K","1.23%"
"10/31/2023","219.50","219.85","220.10","219.00","80.00K","-0.66%"
"10/30/2023","220.95","221.65","221.65","220.00","0.01K","0.00%"
"10/27/2023","220.95","220.60","221.30","220.60","20.00K","0.73%"
"10/26/2023","219.35","221.45","221.45","218.70","0.15K","-0.54%"
"10/25/2023","220.55","219.45","221.45","219.20","1.02K","0.66%"
"10/24/2023","219.10","218.10","219.55","218.00","16.06M","0.09%"
"10/23/2023","218.90","218.60","219.00","217.75","1.98K","-0.34%"
"10/20/2023","219.65","218.25","220.00","217.40","2.21K","0.37%"
"10/19/2023","218.85","218.90","219.40","218.00","1.94K","-0.34%"
"10/18/2023","219.60","219.80","220.60","219.15","23.74M","0.32%"
"10/17/2023","218.90","219.30","219.45","217.30","3.39K","-0.57%"
"10/16/2023","220.15","220.20","221.55","220.15","1.17K","0.00%"
"10/13/2023","220.15","220.25","220.85","219.65","2.43K","-0.02%"
"10/12/2023","220.20","221.85","222.20","220.10","3.19K","-0.50%"
"10/11/2023","221.30","221.45","223.00","220.85","2.98K","-0.09%"
"10/10/2023","221.50","222.20","222.45","220.40","3.69K","-0.87%"
"10/09/2023","223.45","225.00","225.45","222.10","3.53K","0.27%"
"10/06/2023","222.85","221.75","224.00","221.10","3.53K","0.63%"
"10/05/2023","221.45","222.50","223.20","221.10","3.00K","-0.32%"
"10/04/2023","222.15","223.30","224.85","221.55","4.44K","-0.83%"
"10/03/2023","224.00","227.05","227.50","223.10","7.45K","-2.55%"
"09/29/2023","229.85","230.10","230.10","229.85","0.01K","1.73%"
"09/28/2023","225.95","220.95","227.00","220.95","0.02K","2.45%"
"09/27/2023","220.55","221.90","222.90","220.25","0.04K","-0.59%"
"09/26/2023","221.85","226.60","226.60","221.00","0.13K","-0.29%"
"09/25/2023","222.50","223.00","224.30","222.05","1.23K","-0.78%"
"09/22/2023","224.25","223.35","224.95","222.70","3.45K","0.70%"
"09/21/2023","222.70","222.80","223.25","219.60","4.37K","-0.58%"
"09/20/2023","224.00","221.15","225.00","220.20","4.65K","1.06%"
"09/19/2023","221.65","223.30","223.70","221.20","2.83K","-1.38%"
"09/18/2023","224.75","223.35","225.00","223.00","2.83K","0.63%"
"09/15/2023","223.35","226.90","227.60","223.00","4.46K","-1.15%"
"09/14/2023","225.95","223.95","227.15","223.95","4.29K","1.07%"
"09/13/2023","223.55","220.30","224.00","219.70","3.99K","1.29%"
"09/12/2023","220.70","222.70","223.35","219.95","3.12K","-0.70%"
"09/11/2023","222.25","217.60","223.20","217.60","5.44K","2.21%"
"09/08/2023","217.45","220.35","220.35","216.35","4.67K","-2.03%"
"09/07/2023","221.95","220.10","222.40","219.20","3.29K","0.54%"
"09/06/2023","220.75","221.90","221.90","219.20","2.62K","0.11%"
"09/05/2023","220.50","221.05","221.85","218.85","3.38K","0.09%"
"09/04/2023","220.30","220.85","221.25","219.40","2.35K","-0.23%"
"09/01/2023","220.80","218.60","221.65","218.60","5.55K","2.27%"
"08/31/2023","215.90","216.05","216.05","215.85","0.00K","-0.62%"
"08/30/2023","217.25","216.90","217.80","216.90","0.01K","0.72%"
"08/29/2023","215.70","214.85","216.65","214.50","0.04K","0.89%"
"08/28/2023","213.80","215.10","216.55","213.45","0.25K","0.02%"
"08/25/2023","213.75","212.70","214.55","212.00","0.99K","0.45%"
"08/24/2023","212.80","212.35","213.65","211.55","3.31K","0.31%"
"08/23/2023","212.15","212.35","212.55","210.95","2.53K","0.43%"
"08/22/2023","211.25","210.35","212.60","209.85","3.17K","0.48%"
"08/21/2023","210.25","210.25","210.70","208.25","3.70K","0.36%"
"08/18/2023","209.50","210.50","210.65","207.95","4.18K","-0.31%"
"08/17/2023","210.15","208.65","212.25","207.75","4.89K","0.02%"
"08/16/2023","210.10","212.95","212.95","208.75","5.07K","-2.14%"
"08/14/2023","214.70","216.65","216.65","213.70","4.01K","-1.26%"
"08/11/2023","217.45","220.60","220.80","217.00","4.29K","-1.70%"
"08/10/2023","221.20","222.90","223.95","220.20","3.71K","-0.74%"
"08/09/2023","222.85","222.50","224.10","221.70","3.82K","0.63%"
"08/08/2023","221.45","222.80","223.45","218.90","4.86K","-0.90%"
"08/07/2023","223.45","223.40","224.45","222.35","2.92K","-0.36%"
"08/04/2023","224.25","222.80","224.50","221.70","4.00K","0.34%"
"08/03/2023","223.50","221.80","223.70","219.55","4.52K","0.47%"
"08/02/2023","222.45","225.85","226.30","221.55","4.59K","-1.87%"
"08/01/2023","226.70","226.85","228.45","224.65","4.68K","1.23%"
"07/31/2023","223.95","221.55","224.60","218.75","0.03K","1.70%"
"07/28/2023","220.20","218.35","220.95","218.35","0.02K","1.15%"
"07/27/2023","217.70","219.50","221.00","217.20","0.06K","-0.05%"
"07/26/2023","217.80","217.45","218.15","216.95","0.14K","0.35%"
"07/25/2023","217.05","213.90","217.60","213.60","1.12K","1.71%"
"07/24/2023","213.40","213.20","213.80","210.65","3.16K","0.33%"
"07/21/2023","212.70","213.95","214.75","212.25","2.36K","-0.16%"
"07/20/2023","213.05","212.35","215.20","212.05","3.82K","0.40%"
"07/19/2023","212.20","213.20","213.95","211.60","3.16K","-0.89%"
"07/18/2023","214.10","214.75","215.30","212.70","3.10K","-0.37%"
"07/17/2023","214.90","216.95","216.95","213.85","3.17K","-1.26%"
